time,location,timestamp
1364368232,in[sport-venues],2013-03-27 07:10:32
1364368248,in[sport-venues],2013-03-27 07:10:48
1364368263,in[sport-venues],2013-03-27 07:11:03
1364368278,in[sport-venues],2013-03-27 07:11:18
1364368294,in[sport-venues],2013-03-27 07:11:34
1364368310,in[sport-venues],2013-03-27 07:11:50
1364368325,in[sport-venues],2013-03-27 07:12:05
1364368341,in[sport-venues],2013-03-27 07:12:21
1364368356,in[sport-venues],2013-03-27 07:12:36
1364368372,in[sport-venues],2013-03-27 07:12:52
1364368387,in[sport-venues],2013-03-27 07:13:07
1364368403,in[sport-venues],2013-03-27 07:13:23
1364368418,in[sport-venues],2013-03-27 07:13:38
1364368434,in[sport-venues],2013-03-27 07:13:54
1364368449,in[sport-venues],2013-03-27 07:14:09
1364368465,in[sport-venues],2013-03-27 07:14:25
1364368480,in[sport-venues],2013-03-27 07:14:40
1364368501,in[sport-venues],2013-03-27 07:15:01
1364368517,in[sport-venues],2013-03-27 07:15:17
1364368532,in[sport-venues],2013-03-27 07:15:32
1364368548,in[sport-venues],2013-03-27 07:15:48
1364368563,in[sport-venues],2013-03-27 07:16:03
1364368579,in[sport-venues],2013-03-27 07:16:19
1364368594,in[sport-venues],2013-03-27 07:16:34
1364368610,in[sport-venues],2013-03-27 07:16:50
1364368625,in[sport-venues],2013-03-27 07:17:05
1364368641,in[sport-venues],2013-03-27 07:17:21
1364368656,in[sport-venues],2013-03-27 07:17:36
1364368672,in[sport-venues],2013-03-27 07:17:52
1364368687,in[sport-venues],2013-03-27 07:18:07
1364368703,in[sport-venues],2013-03-27 07:18:23
1364368718,in[sport-venues],2013-03-27 07:18:38
1364368734,in[sport-venues],2013-03-27 07:18:54
1364368749,in[sport-venues],2013-03-27 07:19:09
1364368765,in[sport-venues],2013-03-27 07:19:25
1364368780,in[sport-venues],2013-03-27 07:19:40
1364368801,in[sport-venues],2013-03-27 07:20:01
1364368817,in[sport-venues],2013-03-27 07:20:17
1364368833,in[sport-venues],2013-03-27 07:20:33
1364368848,in[sport-venues],2013-03-27 07:20:48
1364368864,in[sport-venues],2013-03-27 07:21:04
1364368879,in[sport-venues],2013-03-27 07:21:19
1364368895,in[sport-venues],2013-03-27 07:21:35
1364368910,in[sport-venues],2013-03-27 07:21:50
1364368926,in[sport-venues],2013-03-27 07:22:06
1364368941,in[sport-venues],2013-03-27 07:22:21
1364368957,in[sport-venues],2013-03-27 07:22:37
1364368972,in[sport-venues],2013-03-27 07:22:52
1364368988,in[sport-venues],2013-03-27 07:23:08
1364369003,in[sport-venues],2013-03-27 07:23:23
1364369019,in[sport-venues],2013-03-27 07:23:39
1364369034,in[sport-venues],2013-03-27 07:23:54
1364369049,in[sport-venues],2013-03-27 07:24:09
1364369065,in[sport-venues],2013-03-27 07:24:25
1364369080,in[sport-venues],2013-03-27 07:24:40
1364369101,in[sport-venues],2013-03-27 07:25:01
1364369117,in[sport-venues],2013-03-27 07:25:17
1364369132,in[sport-venues],2013-03-27 07:25:32
1364369148,in[sport-venues],2013-03-27 07:25:48
1364369163,in[sport-venues],2013-03-27 07:26:03
1364369179,in[sport-venues],2013-03-27 07:26:19
1364369194,in[sport-venues],2013-03-27 07:26:34
1364369210,in[sport-venues],2013-03-27 07:26:50
1364369225,in[sport-venues],2013-03-27 07:27:05
1364369241,in[sport-venues],2013-03-27 07:27:21
1364369256,in[sport-venues],2013-03-27 07:27:36
1364369272,in[sport-venues],2013-03-27 07:27:52
1364369287,in[sport-venues],2013-03-27 07:28:07
1364369303,in[sport-venues],2013-03-27 07:28:23
1364369320,in[sport-venues],2013-03-27 07:28:40
1364369335,in[sport-venues],2013-03-27 07:28:55
1364369350,in[sport-venues],2013-03-27 07:29:10
1364369366,in[sport-venues],2013-03-27 07:29:26
1364369381,in[sport-venues],2013-03-27 07:29:41
1364369401,in[sport-venues],2013-03-27 07:30:01
1364369417,in[sport-venues],2013-03-27 07:30:17
1364369432,in[sport-venues],2013-03-27 07:30:32
1364369448,in[sport-venues],2013-03-27 07:30:48
1364369464,in[sport-venues],2013-03-27 07:31:04
1364369479,in[sport-venues],2013-03-27 07:31:19
1364369495,in[sport-venues],2013-03-27 07:31:35
1364369510,in[sport-venues],2013-03-27 07:31:50
1364369526,in[sport-venues],2013-03-27 07:32:06
1364369541,in[sport-venues],2013-03-27 07:32:21
1364369557,in[sport-venues],2013-03-27 07:32:37
1364369572,in[sport-venues],2013-03-27 07:32:52
